,attack_cat
646,None
647,None
648,None
649,None
650,None
651,None
652,None
653,None
654,None
655,None
656,None
657,None
658,None
659,None
660,None
661,None
662,None
663,None
664,None
665,None
666,None
667,None
668,None
669,None
670,None
671,None
672,None
673,None
674,None
675,None
676,None
677,None
678,None
679,None
680,None
681,None
682,None
683,None
684,None
685,None
686,None
687,None
688,None
689,None
690,None
691,None
692,None
693,None
694,None
695,None
696,None
697,None
698,None
699,None
700,None
701,None
702,None
703,None
704,None
705,None
706,None
707,None
708,None
709,None
710,None
711,None
712,None
713,None
714,None
715,None
716,None
717,None
718,None
719,None
720,None
721,None
722,None
723,None
724,None
725,None
726,None
727,None
728,None
729,None
730,None
731,None
732,None
733,None
734,None
735,None
736,None
737,None
738,None
739,None
740,None
741,None
742,None
743,None
744,None
745,None
746,None
747,None
748,None
749,None
750,None
751,None
752,None
753,None
754,None
755,None
756,None
757,None
758,None
759,None
760,None
761,None
762,None
763,None
764,None
765,None
766,None
767,None
768,None
769,None
770,None
771,None
772,None
773,None
774,None
775,None
776,None
777,None
778,None
779,None
780,None
781,None
782,None
783,None
784,None
785,None
786,None
787,None
788,None
789,None
790,None
791,None
792,None
793,None
794,None
795,None
796,None
797,None
798,None
799,None
800,None
801,None
802,None
803,None
804,None
805,None
806,None
807,None
808,None
809,None
810,None
811,None
812,None
813,None
814,None
815,None
816,None
817,None
818,None
819,None
820,None
821,None
822,None
823,None
824,None
825,None
826,None
827,None
828,None
829,None
830,None
831,None
832,None
833,None
834,None
835,None
836,None
837,None
838,None
839,None
840,None
841,None
842,None
843,None
844,None
845,None
846,None
847,None
848,None
849,None
850,None
851,None
852,None
853,None
854,None
855,None
856,None
857,None
858,None
859,None
860,None
861,None
862,None
863,None
864,None
865,None
866,None
867,None
868,None
869,None
870,None
871,None
872,None
873,None
874,None
875,None
876,None
877,None
878,None
879,None
880,None
881,None
882,None
883,None
884,None
885,None
886,None
887,None
888,None
889,None
890,None
891,None
892,None
893,None
894,None
895,None
896,None
897,None
898,None
899,None
900,None
901,None
902,None
903,None
904,None
905,None
906,None
907,None
908,None
909,None
910,None
911,None
912,None
913,None
914,None
915,None
916,None
917,None
918,None
919,None
920,None
921,None
922,None
923,None
924,None
925,None
926,None
927,None
928,None
929,None
930,None
931,None
932,None
933,None
934,None
935,None
936,None
937,None
938,None
939,None
940,None
941,None
942,None
943,None
944,None
945,None
946,None
947,None
948,None
949,None
950,None
951,None
952,None
953,None
954,None
955,None
956,None
957,None
958,None
959,None
960,None
961,None
962,None
963,None
964,None
965,None
966,None
967,None
968,None
969,None
970,None
971,None
972,None
973,None
974,None
975,None
976,None
977,None
978,None
979,None
980,None
981,None
982,None
983,None
984,None
985,None
986,None
987,None
988,None
989,None
990,None
991,None
992,None
993,None
994,None
995,None
996,None
997,None
998,None
999,None
1000,None
1001,None
1002,None
1003,None
1004,None
1005,None
1006,None
1007,None
1008,None
1009,None
1010,None
1011,None
1012,None
1013,None
1014,None
1015,None
1016,None
1017,None
1018,None
1019,None
1020,None
1021,None
1022,None
1023,None
1024,None
1025,None
1026,None
1027,None
1028,None
1029,None
1030,None
1031,None
1032,None
1033,None
1034,None
1035,None
1036,None
1037,None
1038,None
1039,None
1040,None
1041,None
1042,None
1043,None
1044,None
1045,None
1046,None
1047,None
1048,None
1049,None
1050,None
1051,None
1052,None
1053,None
1054,None
1055,None
1056,None
1057,None
1058,None
1059,None
1060,None
1061,None
1062,None
1063,None
1064,None
1065,None
1066,None
1067,None
1068,None
1069,None
1070,None
1071,None
1072,None
1073,None
1074,None
1075,None
1076,None
1077,None
1078,None
1079,None
1080,None
1081,None
1082,None
1083,None
1084,None
1085,None
1086,None
1087,None
1088,None
1089,None
1090,None
1091,None
1092,None
1093,None
1094,None
1095,None
1096,None
1097,None
1098,None
1099,None
1100,None
1101,None
1102,None
1103,None
1104,None
1105,None
1106,None
1107,None
1108,None
1109,None
1110,None
1111,None
1112,None
1113,None
1114,None
1115,None
1116,None
1117,None
1118,None
1119,None
1120,None
1121,None
1122,None
1123,None
1124,None
1125,None
1126,None
1127,None
1128,None
1129,None
1130,None
1131,None
1132,None
1133,None
1134,None
1135,None
1136,None
1137,None
1138,None
1139,None
1140,None
1141,None
1142,None
1143,None
1144,None
1145,None
1146,None
1147,None
1148,None
1149,None
1150,None
1151,None
1152,None
1153,None
1154,None
1155,None
1156,None
1157,None
1158,None
1159,None
1160,None
1161,None
1162,None
1163,None
1164,None
1165,None
1166,None
1167,None
1168,None
1169,None
1170,None
1171,None
1172,None
1173,None
1174,None
1175,None
1176,None
1177,None
1178,None
1179,None
1180,None
1181,None
1182,None
1183,None
1184,None
1185,None
1186,None
1187,None
1188,None
1189,None
1190,None
1191,None
1192,None
1193,None
1194,None
1195,None
1196,None
1197,None
1198,None
1199,None
1200,None
1201,None
1202,None
1203,None
1204,None
1205,None
1206,None
1207,None
1208,None
1209,None
1210,None
1211,None
1212,None
1213,None
1214,None
1215,None
1216,None
1217,None
1218,None
1219,None
1220,None
1221,None
1222,None
1223,None
1224,None
1225,None
1226,None
1227,None
1228,None
1229,None
1230,None
1231,None
1232,None
1233,None
1234,None
1235,None
1236,None
1237,None
1238,None
1239,None
1240,None
1241,None
1242,None
1243,None
1244,None
1245,None
1246,None
1247,None
1248,None
1249,None
1250,None
1251,None
1252,None
1253,None
1254,None
1255,None
1256,None
1257,None
1258,None
1259,None
1260,None
1261,None
1262,None
1263,None
1264,None
1265,None
1266,None
1267,None
1268,None
1269,None
1270,None
1271,None
1272,None
1273,None
1274,None
1275,None
1276,None
1277,None
1278,None
1279,None
1280,None
1281,None
1282,None
1283,None
1284,None
1285,None
1286,None
1287,None
1288,None
1289,None
1290,None
1291,None
1292,None
1293,None
1294,None
1295,None
1296,None
1297,None
1298,None
1299,None
1300,None
1301,None
1302,None
1303,None
1304,None
1305,None
1306,None
1307,None
1308,None
1309,None
1310,None
1311,None
1312,None
1313,None
1314,None
1315,None
1316,None
1317,None
1318,None
1319,None
1320,None
1321,None
1322,None
1323,None
1324,None
1325,None
1326,None
1327,None
1328,None
1329,None
1330,None
1331,None
1332,None
1333,None
1334,None
1335,None
1336,None
1337,None
1338,None
1339,None
1340,None
1341,None
1342,None
1343,None
1344,None
1345,None
1346,None
1347,None
1348,None
1349,None
1350,None
1351,None
1352,None
1353,None
1354,None
1355,None
1356,None
1357,None
1358,None
1359,None
1360,None
1361,None
1362,None
1363,None
1364,None
1365,None
1366,None
1367,None
1368,None
1369,None
1370,None
1371,None
1372,None
1373,None
1374,None
1375,None
1376,None
1377,None
1378,None
1379,None
1380,None
1381,None
1382,None
1383,None
1384,None
1385,None
1386,None
1387,None
1388,None
1389,None
1390,None
1391,None
1392,None
1393,None
1394,None
1395,None
1396,None
1397,None
1398,None
1399,None
1400,None
1401,None
1402,None
1403,None
1404,None
1405,None
1406,None
1407,None
1408,None
1409,None
1410,None
1411,None
1412,None
1413,None
1414,None
1415,None
1416,None
1417,None
1418,None
1419,None
1420,None
1421,None
1422,None
1423,None
1424,None
1425,None
1426,None
1427,None
1428,None
1429,None
1430,None
1431,None
1432,None
1433,None
1434,None
1435,None
1436,None
1437,None
1438,None
1439,None
1440,None
1441,None
1442,None
1443,None
1444,None
1445,None
1446,None
1447,None
1448,None
1449,None
1450,None
1451,None
1452,None
1453,None
1454,None
1455,None
1456,None
1457,None
1458,None
1459,None
1460,None
1461,None
1462,None
1463,None
1464,None
1465,None
1466,None
1467,None
1468,None
1469,None
1470,None
1471,None
1472,None
1473,None
1474,None
1475,None
1476,None
1477,None
1478,None
1479,None
1480,None
1481,None
1482,None
1483,None
1484,None
1485,None
1486,None
1487,None
1488,None
1489,None
1490,None
1491,None
1492,None
1493,None
1494,None
1495,None
1496,None
1497,None
1498,None
1499,None
1500,None
1501,None
1502,None
1503,None
1504,None
1505,None
1506,None
1507,None
1508,None
1509,None
1510,None
1511,None
1512,None
1513,None
1514,None
1515,None
1516,None
1517,None
1518,None
1519,None
1520,None
1521,None
1522,None
1523,None
1524,None
1525,None
1526,None
1527,None
1528,None
1529,None
1530,None
1531,None
1532,None
1533,None
1534,None
1535,None
1536,None
1537,None
1538,None
1539,None
1540,None
1541,None
1542,None
1543,None
1544,None
1545,None
1546,None
1547,None
1548,None
1549,None
1550,None
1551,None
1552,None
1553,None
1554,None
1555,None
1556,None
1557,None
1558,None
1559,None
1560,None
1561,None
1562,None
1563,None
1564,None
1565,None
1566,None
1567,None
1568,None
1569,None
1570,None
1571,None
1572,None
1573,None
1574,None
1575,None
1576,None
1577,None
1578,None
1579,None
1580,None
1581,None
1582,None
1583,None
1584,None
1585,None
1586,None
1587,None
1588,None
1589,None
1590,None
1591,None
1592,None
1593,None
1594,None
1595,None
1596,None
1597,None
1598,None
1599,None
1600,None
1601,None
1602,None
1603,None
1604,None
1605,None
1606,None
1607,None
1608,None
1609,None
1610,None
1611,None
1612,None
1613,None
1614,None
1615,None
1616,None
1617,None
1618,None
1619,None
1620,None
1621,None
1622,None
1623,None
1624,None
1625,None
1626,None
1627,None
1628,None
1629,None
1630,None
1631,None
1632,None
1633,None
1634,None
1635,None
1636,None
1637,None
1638,None
1639,None
1640,None
1641,None
1642,None
1643,None
1644,None
1645,None
1646,None
1647,None
1648,None
1649,None
1650,None
1651,None
1652,None
1653,None
1654,None
1655,None
1656,None
1657,None
1658,None
1659,None
1660,None
1661,None
1662,None
1663,None
1664,None
1665,None
1666,None
1667,None
1668,None
1669,None
1670,None
1671,None
1672,None
1673,None
1674,None
1675,None
1676,None
1677,None
1678,None
1679,None
1680,None
1681,None
1682,None
1683,None
1684,None
1685,None
1686,None
1687,None
1688,None
1689,None
1690,None
1691,None
1692,None
1693,None
1694,None
1695,None
1696,None
1697,None
1698,None
1699,None
1700,None
1701,None
1702,None
1703,None
1704,None
1705,None
1706,None
1707,None
1708,None
1709,None
1710,None
1711,None
1712,None
1713,None
1714,None
1715,None
1716,None
1717,None
1718,None
1719,None
1720,None
1721,None
1722,None
1723,None
1724,None
1725,None
1726,None
1727,None
1728,None
1729,None
1730,None
1731,None
1732,None
1733,None
1734,None
1735,None
1736,None
1737,None
1738,None
1739,None
1740,None
1741,None
1742,None
1743,None
1744,None
1745,None
1746,None
1747,None
1748,None
1749,None
1750,None
1751,None
1752,None
1753,None
1754,None
1755,None
1756,None
1757,None
1758,None
1759,None
1760,None
1761,None
1762,None
1763,None
1764,None
1765,None
1766,None
1767,None
1768,None
1769,None
1770,None
1771,None
1772,None
1773,None
1774,None
1775,None
1776,None
1777,None
1778,None
1779,None
1780,None
1781,None
1782,None
1783,None
1784,None
1785,None
1786,None
1787,None
1788,None
1789,None
1790,None
1791,None
1792,None
1793,None
1794,None
1795,None
1796,None
1797,None
1798,None
1799,None
1800,None
1801,None
1802,None
1803,None
1804,None
1805,None
1806,None
1807,None
1808,None
1809,None
1810,None
1811,None
1812,None
1813,None
1814,None
1815,None
1816,None
1817,None
1818,None
1819,None
1820,None
1821,None
1822,None
1823,None
1824,None
1825,None
1826,None
1827,None
1828,None
1829,None
1830,None
1831,None
1832,None
1833,None
1834,None
1835,None
1836,None
1837,None
1838,None
1839,None
1840,None
1841,None
1842,None
1843,None
1844,None
1845,None
1846,None
1847,None
1848,None
1849,None
1850,None
1851,None
1852,None
1853,None
1854,None
1855,None
1856,None
1857,None
1858,None
1859,None
1860,None
1861,None
1862,None
1863,None
1864,None
1865,None
1866,None
1867,None
1868,None
1869,None
1870,None
1871,None
1872,None
1873,None
1874,None
1875,None
1876,None
1877,None
1878,None
1879,None
1880,None
1881,None
1882,None
1883,None
1884,None
1885,None
1886,None
1887,None
1888,None
1889,None
1890,None
1891,None
1892,None
1893,None
1894,None
1895,None
1896,None
1897,None
1898,None
1899,None
1900,None
1901,None
1902,None
1903,None
1904,None
1905,None
1906,None
1907,None
1908,None
1909,None
1910,None
1911,None
1912,None
1913,None
1914,None
1915,None
1916,None
1917,None
1918,None
1919,None
1920,None
1921,None
1922,None
1923,None
1924,None
1925,None
1926,None
1927,None
1928,None
1929,None
1930,None
1931,None
1932,None
1933,None
1934,None
1935,None
1936,None
1937,None
1938,None
1939,None
1940,None
1941,None
1942,None
1943,None
1944,None
1945,None
1946,None
1947,None
1948,None
1949,None
1950,None
1951,None
1952,None
1953,None
1954,None
1955,None
1956,None
1957,None
1958,None
1959,None
1960,None
1961,None
1962,None
1963,None
1964,None
1965,None
1966,None
1967,None
1968,None
1969,None
1970,None
1971,None
1972,None
1973,None
1974,None
1975,None
1976,None
1977,None
1978,None
1979,None
1980,None
1981,None
1982,None
1983,None
1984,None
1985,None
1986,None
1987,None
1988,None
1989,None
1990,None
1991,None
1992,None
1993,None
1994,None
1995,None
1996,None
1997,None
1998,None
1999,None
2000,None
2001,None
2002,None
2003,None
2004,None
2005,None
2006,None
2007,None
2008,None
2009,None
2010,None
2011,None
2012,None
2013,None
2014,None
2015,None
2016,None
2017,None
2018,None
2019,None
2020,None
2021,None
2022,None
2023,None
2024,None
2025,None
2026,None
2027,None
2028,None
2029,None
2030,None
2031,None
2032,None
2033,None
2034,None
2035,None
2036,None
2037,None
2038,None
2039,None
2040,None
2041,None
2042,None
2043,None
2044,None
2045,None
2046,None
2047,None
2048,None
2049,None
2050,None
2051,None
2052,None
2053,None
2054,None
2055,None
2056,None
2057,None
2058,None
2059,None
2060,None
2061,None
2062,None
2063,None
2064,None
2065,None
2066,None
2067,None
2068,None
2069,None
2070,None
2071,None
2072,None
2073,None
2074,None
2075,None
2076,None
2077,None
2078,None
2079,None
2080,None
2081,None
2082,None
2083,None
2084,None
2085,None
2086,None
2087,None
2088,None
2089,None
2090,None
2091,None
2092,None
2093,None
2094,None
2095,None
2096,None
2097,None
2098,None
2099,None
2100,None
2101,None
2102,None
2103,None
2104,None
2105,None
2106,None
2107,None
2108,None
2109,None
2110,None
2111,None
2112,None
2113,None
2114,None
2115,None
2116,None
2117,None
2118,None
2119,None
2120,None
2121,None
2122,None
2123,None
2124,None
2125,None
2126,None
2127,None
2128,None
2129,None
2130,None
2131,None
2132,None
2133,None
2134,None
2135,None
2136,None
2137,None
2138,None
2139,None
2140,None
2141,None
2142,None
2143,None
2144,None
2145,None
2146,None
2147,None
2148,None
2149,None
2150,None
2151,None
2152,None
2153,None
2154,None
2155,None
2156,None
2157,None
2158,None
2159,None
2160,None
2161,None
2162,None
2163,None
2164,None
2165,None
2166,None
2167,None
2168,None
2169,None
2170,None
2171,None
2172,None
2173,None
2174,None
2175,None
2176,None
2177,None
2178,None
2179,None
2180,None
2181,None
2182,None
2183,None
2184,None
2185,None
2186,None
2187,None
2188,None
2189,None
2190,None
2191,None
2192,None
2193,None
2194,None
2195,None
2196,None
2197,None
2198,None
2199,None
2200,None
2201,None
2202,None
2203,None
2204,None
2205,None
2206,None
2207,None
2208,None
2209,None
2210,None
2211,None
2212,None
2213,None
2214,None
2215,None
2216,None
2217,None
2218,None
2219,None
2220,None
2221,None
2222,None
2223,None
2224,None
2225,None
2226,None
2227,None
2228,None
2229,None
2230,None
2231,None
2232,None
2233,None
2234,None
2235,None
2236,None
2237,None
2238,None
2239,None
2240,None
2241,None
2242,None
2243,None
2244,None
2245,None
2246,None
2247,None
2248,None
2249,None
2250,None
2251,None
2252,None
2253,None
2254,None
2255,None
2256,None
2257,None
2258,None
2259,None
2260,None
2261,None
2262,None
2263,None
2264,None
2265,None
2266,None
2267,None
2268,None
2269,None
2270,None
2271,None
2272,None
2273,None
2274,None
2275,None
2276,None
2277,None
2278,None
2279,None
2280,None
2281,None
2282,None
2283,None
2284,None
2285,None
2286,None
2287,None
2288,None
2289,None
2290,None
2291,None
2292,None
2293,None
2294,None
2295,None
2296,None
2297,None
2298,None
2299,None
2300,None
2301,None
2302,None
2303,None
2304,None
2305,None
2306,None
2307,None
2308,None
2309,None
2310,None
2311,None
2312,None
2313,None
2314,None
2315,None
2316,None
2317,None
2318,None
2319,None
2320,None
2321,None
2322,None
2323,None
2324,None
2325,None
2326,None
2327,None
2328,None
2329,None
2330,None
2331,None
2332,None
2333,None
2334,None
2335,None
2336,None
2337,None
2338,None
2339,None
2340,None
2341,None
2342,None
2343,None
2344,None
2345,None
2346,None
2347,None
2348,None
2349,None
2350,None
2351,None
2352,None
2353,None
2354,None
2355,None
2356,None
2357,None
2358,None
2359,None
2360,None
2361,None
2362,None
2363,None
2364,None
2365,None
2366,None
2367,None
2368,None
2369,None
2370,None
2371,None
2372,None
2373,None
2374,None
2375,None
2376,None
2377,None
2378,None
2379,None
2380,None
2381,None
2382,None
2383,None
2384,None
2385,None
2386,None
2387,None
2388,None
2389,None
2390,None
2391,None
2392,None
2393,None
2394,None
2395,None
2396,None
2397,None
2398,None
2399,None
2400,None
2401,None
2402,None
2403,None
2404,None
2405,None
2406,None
2407,None
2408,None
2409,None
2410,None
2411,None
2412,None
2413,None
2414,None
2415,None
2416,None
2417,None
2418,None
2419,None
2420,None
2421,None
2422,None
2423,None
2424,None
2425,None
2426,None
2427,None
2428,None
2429,None
2430,None
2431,None
2432,None
2433,None
2434,None
2435,None
2436,None
2437,None
2438,None
2439,None
2440,None
2441,None
2442,None
2443,None
2444,None
2445,None
2446,None
2447,None
2448,None
2449,None
2450,None
2451,None
2452,None
2453,None
2454,None
2455,None
2456,None
2457,None
2458,None
2459,None
2460,None
2461,None
2462,None
2463,None
2464,None
2465,None
2466,None
2467,None
2468,None
2469,None
2470,None
2471,None
2472,None
2473,None
2474,None
2475,None
2476,None
2477,None
2478,None
2479,None
2480,None
2481,None
2482,None
2483,None
2484,None
2485,None
2486,None
2487,None
2488,None
2489,None
2490,None
2491,None
2492,None
2493,None
2494,None
2495,None
2496,None
2497,None
2498,None
2499,None
2500,None
2501,None
2502,None
2503,None
2504,None
2505,None
2506,None
2507,None
2508,None
2509,None
2510,None
2511,None
2512,None
2513,None
2514,None
2515,None
2516,None
2517,None
2518,None
2519,None
2520,None
2521,None
2522,None
2523,None
2524,None
2525,None
2526,None
2527,None
2528,None
2529,None
2530,None
2531,None
2532,None
2533,None
2534,None
2535,None
2536,None
2537,None
2538,None
2539,None
2540,None
2541,None
2542,None
2543,None
2544,None
2545,None
2546,None
2547,None
2548,None
2549,None
2550,None
2551,None
2552,None
2553,None
2554,None
2555,None
2556,None
2557,None
2558,None
2559,None
2560,None
2561,None
2562,None
2563,None
2564,None
2565,None
2566,None
2567,None
2568,None
2569,None
2570,None
2571,None
2572,None
2573,None
2574,None
2575,None
2576,None
2577,None
2578,None
2579,None
2580,None
2581,None
2582,None
2583,None
2584,None
2585,None
2586,None
2587,None
2588,None
2589,None
2590,None
2591,None
2592,None
2593,None
2594,None
2595,None
2596,None
2597,None
2598,None
2599,None
2600,None
2601,None
2602,None
2603,None
2604,None
2605,None
2606,None
2607,None
2608,None
2609,None
2610,None
2611,None
2612,None
2613,None
2614,None
2615,None
2616,None
2617,None
2618,None
2619,None
2620,None
2621,None
2622,None
2623,None
2624,None
2625,None
2626,None
2627,None
2628,None
2629,None
2630,None
2631,None
2632,None
2633,None
2634,None
2635,None
2636,None
2637,None
2638,None
2639,None
2640,None
2641,None
2642,None
2643,None
2644,None
2645,None
2646,None
2647,None
2648,None
2649,None
2650,None
2651,None
2652,None
2653,None
2654,None
2655,None
2656,None
2657,None
2658,None
2659,None
2660,None
2661,None
2662,None
2663,None
2664,None
2665,None
2666,None
2667,None
2668,None
2669,None
2670,None
2671,None
2672,None
2673,None
2674,None
2675,None
2676,None
2677,None
2678,None
2679,None
2680,None
2681,None
2682,None
2683,None
2684,None
2685,None
2686,None
2687,None
2688,None
2689,None
2690,None
2691,None
2692,None
2693,None
2694,None
2695,None
2696,None
2697,None
2698,None
2699,None
2700,None
2701,None
2702,None
2703,None
2704,None
2705,None
2706,None
2707,None
2708,None
2709,None
2710,None
2711,None
2712,None
2713,None
2714,None
2715,None
2716,None
2717,None
2718,None
2719,None
2720,None
2721,None
2722,None
2723,None
2724,None
2725,None
2726,None
2727,None
2728,None
2729,None
2730,None
2731,None
2732,None
2733,None
2734,None
2735,None
2736,None
2737,None
2738,None
2739,None
2740,None
2741,None
2742,None
2743,None
2744,None
2745,None
2746,None
2747,None
2748,None
2749,None
2750,None
2751,None
2752,None
2753,None
2754,None
2755,None
2756,None
2757,None
2758,None
2759,None
2760,None
2761,None
2762,None
2763,None
2764,None
2765,None
2766,None
2767,None
2768,None
2769,None
2770,None
2771,None
2772,None
2773,None
2774,None
2775,None
2776,None
2777,None
2778,None
2779,None
2780,None
2781,None
2782,None
2783,None
2784,None
2785,None
2786,None
2787,None
2788,None
2789,None
2790,None
2791,None
2792,None
2793,None
2794,None
2795,None
2796,None
2797,None
2798,None
2799,None
2800,None
2801,None
2802,None
2803,None
2804,None
2805,None
2806,None
2807,None
2808,None
2809,None
2810,None
2811,None
2812,None
2813,None
2814,None
2815,None
2816,None
2817,None
2818,None
2819,None
2820,None
2821,None
2822,None
2823,None
2824,None
2825,None
2826,None
2827,None
2828,None
2829,None
2830,None
2831,None
2832,None
2833,None
2834,None
2835,None
2836,None
2837,None
2838,None
2839,None
2840,None
2841,None
2842,None
2843,None
2844,None
2845,None
2846,None
2847,None
2848,None
2849,None
2850,None
2851,None
2852,None
2853,None
2854,None
2855,None
2856,None
2857,None
2858,None
2859,None
2860,None
2861,None
2862,None
2863,None
2864,None
2865,None
2866,None
2867,None
2868,None
2869,None
2870,None
2871,None
2872,None
2873,None
2874,None
2875,None
2876,None
2877,None
2878,None
2879,None
2880,None
2881,None
2882,None
2883,None
2884,None
2885,None
2886,None
2887,None
2888,None
2889,None
2890,None
2891,None
2892,None
2893,None
2894,None
2895,None
2896,None
2897,None
2898,None
2899,None
2900,None
2901,None
2902,None
2903,None
2904,None
2905,None
2906,None
2907,None
2908,None
2909,None
2910,None
2911,None
2912,None
2913,None
2914,None
2915,None
2916,None
2917,None
2918,None
2919,None
2920,None
2921,None
2922,None
2923,None
2924,None
2925,None
2926,None
2927,None
2928,None
2929,None
2930,None
2931,None
2932,None
2933,None
2934,None
2935,None
2936,None
2937,None
2938,None
2939,None
2940,None
2941,None
2942,None
2943,None
2944,None
2945,None
2946,None
2947,None
2948,None
2949,None
2950,None
2951,None
2952,None
2953,None
2954,None
2955,None
2956,None
2957,None
2958,None
2959,None
2960,None
2961,None
2962,None
2963,None
2964,None
2965,None
2966,None
2967,None
2968,None
2969,None
2970,None
2971,None
2972,None
2973,None
2974,None
2975,None
2976,None
2977,None
2978,None
2979,None
2980,None
2981,None
2982,None
2983,None
2984,None
2985,None
2986,None
2987,None
2988,None
2989,None
2990,None
2991,None
2992,None
2993,None
2994,None
2995,None
2996,None
